Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaGA_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_BRCA.IlluminaGA_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaGA_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_BRCA.IlluminaGA_miRNASeq.sdrf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_BRCA.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_BRCA.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3C-AAAU-01	TCGA-3C-AAAU-01A-11R-A41G-13	TCGA-3C-AAAU-01A-11R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3C-AAAU-01	TCGA-3C-AAAU-01A-11R-A41G-13	TCGA-3C-AAAU-01A-11R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3C-AALI-01	TCGA-3C-AALI-01A-11R-A41G-13	TCGA-3C-AALI-01A-11R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3C-AALI-01	TCGA-3C-AALI-01A-11R-A41G-13	TCGA-3C-AALI-01A-11R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3C-AALJ-01	TCGA-3C-AALJ-01A-31R-A41G-13	TCGA-3C-AALJ-01A-31R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3C-AALJ-01	TCGA-3C-AALJ-01A-31R-A41G-13	TCGA-3C-AALJ-01A-31R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3C-AALK-01	TCGA-3C-AALK-01A-11R-A41G-13	TCGA-3C-AALK-01A-11R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3C-AALK-01	TCGA-3C-AALK-01A-11R-A41G-13	TCGA-3C-AALK-01A-11R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-4H-AAAK-01	TCGA-4H-AAAK-01A-12R-A41G-13	TCGA-4H-AAAK-01A-12R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-4H-AAAK-01	TCGA-4H-AAAK-01A-12R-A41G-13	TCGA-4H-AAAK-01A-12R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-5L-AAT0-01	TCGA-5L-AAT0-01A-12R-A41G-13	TCGA-5L-AAT0-01A-12R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-5L-AAT0-01	TCGA-5L-AAT0-01A-12R-A41G-13	TCGA-5L-AAT0-01A-12R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-5L-AAT1-01	TCGA-5L-AAT1-01A-12R-A41G-13	TCGA-5L-AAT1-01A-12R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-5L-AAT1-01	TCGA-5L-AAT1-01A-12R-A41G-13	TCGA-5L-AAT1-01A-12R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-5T-A9QA-01	TCGA-5T-A9QA-01A-11R-A41G-13	TCGA-5T-A9QA-01A-11R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-5T-A9QA-01	TCGA-5T-A9QA-01A-11R-A41G-13	TCGA-5T-A9QA-01A-11R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A1-A0SB-01	TCGA-A1-A0SB-01A-11R-A143-13	TCGA-A1-A0SB-01A-11R-A143-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A1-A0SB-01	TCGA-A1-A0SB-01A-11R-A143-13	TCGA-A1-A0SB-01A-11R-A143-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A1-A0SD-01	TCGA-A1-A0SD-01A-11R-A114-13	TCGA-A1-A0SD-01A-11R-A114-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A1-A0SD-01	TCGA-A1-A0SD-01A-11R-A114-13	TCGA-A1-A0SD-01A-11R-A114-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A1-A0SF-01	TCGA-A1-A0SF-01A-11R-A143-13	TCGA-A1-A0SF-01A-11R-A143-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A1-A0SF-01	TCGA-A1-A0SF-01A-11R-A143-13	TCGA-A1-A0SF-01A-11R-A143-13.mirna.quantification.txt
