Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_CESC.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_CESC.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2W-A8YY-01	TCGA-2W-A8YY-01A-11R-A37P-13	TCGA-2W-A8YY-01A-11R-A37P-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2W-A8YY-01	TCGA-2W-A8YY-01A-11R-A37P-13	TCGA-2W-A8YY-01A-11R-A37P-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-4J-AA1J-01	TCGA-4J-AA1J-01A-21R-A38M-13	TCGA-4J-AA1J-01A-21R-A38M-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-4J-AA1J-01	TCGA-4J-AA1J-01A-21R-A38M-13	TCGA-4J-AA1J-01A-21R-A38M-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-BI-A0VR-01	TCGA-BI-A0VR-01A-11R-A10V-13	TCGA-BI-A0VR-01A-11R-A10V-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-BI-A0VR-01	TCGA-BI-A0VR-01A-11R-A10V-13	TCGA-BI-A0VR-01A-11R-A10V-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-BI-A0VS-01	TCGA-BI-A0VS-01A-11R-A10V-13	TCGA-BI-A0VS-01A-11R-A10V-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-BI-A0VS-01	TCGA-BI-A0VS-01A-11R-A10V-13	TCGA-BI-A0VS-01A-11R-A10V-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-BI-A20A-01	TCGA-BI-A20A-01A-11R-A14X-13	TCGA-BI-A20A-01A-11R-A14X-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-BI-A20A-01	TCGA-BI-A20A-01A-11R-A14X-13	TCGA-BI-A20A-01A-11R-A14X-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A0TN-01	TCGA-C5-A0TN-01A-21R-A14X-13	TCGA-C5-A0TN-01A-21R-A14X-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A0TN-01	TCGA-C5-A0TN-01A-21R-A14X-13	TCGA-C5-A0TN-01A-21R-A14X-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BE-01	TCGA-C5-A1BE-01B-11R-A13X-13	TCGA-C5-A1BE-01B-11R-A13X-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BE-01	TCGA-C5-A1BE-01B-11R-A13X-13	TCGA-C5-A1BE-01B-11R-A13X-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BF-01	TCGA-C5-A1BF-01B-11R-A13X-13	TCGA-C5-A1BF-01B-11R-A13X-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BF-01	TCGA-C5-A1BF-01B-11R-A13X-13	TCGA-C5-A1BF-01B-11R-A13X-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BI-01	TCGA-C5-A1BI-01B-11R-A13X-13	TCGA-C5-A1BI-01B-11R-A13X-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BI-01	TCGA-C5-A1BI-01B-11R-A13X-13	TCGA-C5-A1BI-01B-11R-A13X-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BJ-01	TCGA-C5-A1BJ-01A-11R-A13X-13	TCGA-C5-A1BJ-01A-11R-A13X-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BJ-01	TCGA-C5-A1BJ-01A-11R-A13X-13	TCGA-C5-A1BJ-01A-11R-A13X-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BK-01	TCGA-C5-A1BK-01B-11R-A13X-13	TCGA-C5-A1BK-01B-11R-A13X-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BK-01	TCGA-C5-A1BK-01B-11R-A13X-13	TCGA-C5-A1BK-01B-11R-A13X-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BL-01	TCGA-C5-A1BL-01A-11R-A13X-13	TCGA-C5-A1BL-01A-11R-A13X-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BL-01	TCGA-C5-A1BL-01A-11R-A13X-13	TCGA-C5-A1BL-01A-11R-A13X-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BM-01	TCGA-C5-A1BM-01A-11R-A13X-13	TCGA-C5-A1BM-01A-11R-A13X-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-C5-A1BM-01	TCGA-C5-A1BM-01A-11R-A13X-13	TCGA-C5-A1BM-01A-11R-A13X-13.mirna.quantification.txt
