Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_DLBC.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_DLBC.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-8693-01	TCGA-FA-8693-01A-11R-2401-13	TCGA-FA-8693-01A-11R-2401-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-8693-01	TCGA-FA-8693-01A-11R-2401-13	TCGA-FA-8693-01A-11R-2401-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A4BB-01	TCGA-FA-A4BB-01A-11R-A31S-13	TCGA-FA-A4BB-01A-11R-A31S-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A4BB-01	TCGA-FA-A4BB-01A-11R-A31S-13	TCGA-FA-A4BB-01A-11R-A31S-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A4XK-01	TCGA-FA-A4XK-01A-11R-A31S-13	TCGA-FA-A4XK-01A-11R-A31S-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A4XK-01	TCGA-FA-A4XK-01A-11R-A31S-13	TCGA-FA-A4XK-01A-11R-A31S-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A6HN-01	TCGA-FA-A6HN-01A-11R-A31S-13	TCGA-FA-A6HN-01A-11R-A31S-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A6HN-01	TCGA-FA-A6HN-01A-11R-A31S-13	TCGA-FA-A6HN-01A-11R-A31S-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A6HO-01	TCGA-FA-A6HO-01A-11R-A31S-13	TCGA-FA-A6HO-01A-11R-A31S-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A6HO-01	TCGA-FA-A6HO-01A-11R-A31S-13	TCGA-FA-A6HO-01A-11R-A31S-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A7DS-01	TCGA-FA-A7DS-01A-11R-A38N-13	TCGA-FA-A7DS-01A-11R-A38N-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A7DS-01	TCGA-FA-A7DS-01A-11R-A38N-13	TCGA-FA-A7DS-01A-11R-A38N-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A7Q1-01	TCGA-FA-A7Q1-01A-11R-A38N-13	TCGA-FA-A7Q1-01A-11R-A38N-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A7Q1-01	TCGA-FA-A7Q1-01A-11R-A38N-13	TCGA-FA-A7Q1-01A-11R-A38N-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A82F-01	TCGA-FA-A82F-01A-11R-A38N-13	TCGA-FA-A82F-01A-11R-A38N-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A82F-01	TCGA-FA-A82F-01A-11R-A38N-13	TCGA-FA-A82F-01A-11R-A38N-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A86F-01	TCGA-FA-A86F-01A-11R-A38N-13	TCGA-FA-A86F-01A-11R-A38N-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FA-A86F-01	TCGA-FA-A86F-01A-11R-A38N-13	TCGA-FA-A86F-01A-11R-A38N-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8041-01	TCGA-FF-8041-01A-11R-2212-13	TCGA-FF-8041-01A-11R-2212-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8041-01	TCGA-FF-8041-01A-11R-2212-13	TCGA-FF-8041-01A-11R-2212-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8042-01	TCGA-FF-8042-01A-11R-2212-13	TCGA-FF-8042-01A-11R-2212-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8042-01	TCGA-FF-8042-01A-11R-2212-13	TCGA-FF-8042-01A-11R-2212-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8043-01	TCGA-FF-8043-01A-11R-2212-13	TCGA-FF-8043-01A-11R-2212-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8043-01	TCGA-FF-8043-01A-11R-2212-13	TCGA-FF-8043-01A-11R-2212-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8046-01	TCGA-FF-8046-01A-11R-2212-13	TCGA-FF-8046-01A-11R-2212-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8046-01	TCGA-FF-8046-01A-11R-2212-13	TCGA-FF-8046-01A-11R-2212-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8047-01	TCGA-FF-8047-01A-11R-2212-13	TCGA-FF-8047-01A-11R-2212-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8047-01	TCGA-FF-8047-01A-11R-2212-13	TCGA-FF-8047-01A-11R-2212-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8061-01	TCGA-FF-8061-01A-11R-2212-13	TCGA-FF-8061-01A-11R-2212-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8061-01	TCGA-FF-8061-01A-11R-2212-13	TCGA-FF-8061-01A-11R-2212-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8062-01	TCGA-FF-8062-01A-11R-2212-13	TCGA-FF-8062-01A-11R-2212-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-8062-01	TCGA-FF-8062-01A-11R-2212-13	TCGA-FF-8062-01A-11R-2212-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-A7CQ-01	TCGA-FF-A7CQ-01A-11R-A38N-13	TCGA-FF-A7CQ-01A-11R-A38N-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-FF-A7CQ-01	TCGA-FF-A7CQ-01A-11R-A38N-13	TCGA-FF-A7CQ-01A-11R-A38N-13.mirna.quantification.txt
