Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_ESCA.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_ESCA.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2H-A9GF-01	TCGA-2H-A9GF-01A-11R-A37J-13	TCGA-2H-A9GF-01A-11R-A37J-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2H-A9GF-01	TCGA-2H-A9GF-01A-11R-A37J-13	TCGA-2H-A9GF-01A-11R-A37J-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2H-A9GG-01	TCGA-2H-A9GG-01A-11R-A37J-13	TCGA-2H-A9GG-01A-11R-A37J-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2H-A9GG-01	TCGA-2H-A9GG-01A-11R-A37J-13	TCGA-2H-A9GG-01A-11R-A37J-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2H-A9GH-01	TCGA-2H-A9GH-01A-11R-A37J-13	TCGA-2H-A9GH-01A-11R-A37J-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2H-A9GH-01	TCGA-2H-A9GH-01A-11R-A37J-13	TCGA-2H-A9GH-01A-11R-A37J-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2H-A9GI-01	TCGA-2H-A9GI-01A-11R-A37J-13	TCGA-2H-A9GI-01A-11R-A37J-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2H-A9GI-01	TCGA-2H-A9GI-01A-11R-A37J-13	TCGA-2H-A9GI-01A-11R-A37J-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2H-A9GJ-01	TCGA-2H-A9GJ-01A-11R-A37J-13	TCGA-2H-A9GJ-01A-11R-A37J-13.isoform.quantification.txt
