Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_KICH.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_KICH.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8323-01	TCGA-KL-8323-01A-21R-2314-13	TCGA-KL-8323-01A-21R-2314-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8323-01	TCGA-KL-8323-01A-21R-2314-13	TCGA-KL-8323-01A-21R-2314-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8324-01	TCGA-KL-8324-01A-11R-2314-13	TCGA-KL-8324-01A-11R-2314-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8324-01	TCGA-KL-8324-01A-11R-2314-13	TCGA-KL-8324-01A-11R-2314-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8324-11	TCGA-KL-8324-11A-01R-2314-13	TCGA-KL-8324-11A-01R-2314-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8324-11	TCGA-KL-8324-11A-01R-2314-13	TCGA-KL-8324-11A-01R-2314-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8325-01	TCGA-KL-8325-01A-11R-2314-13	TCGA-KL-8325-01A-11R-2314-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8325-01	TCGA-KL-8325-01A-11R-2314-13	TCGA-KL-8325-01A-11R-2314-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8326-01	TCGA-KL-8326-01A-11R-2314-13	TCGA-KL-8326-01A-11R-2314-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8326-01	TCGA-KL-8326-01A-11R-2314-13	TCGA-KL-8326-01A-11R-2314-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8326-11	TCGA-KL-8326-11A-01R-2314-13	TCGA-KL-8326-11A-01R-2314-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8326-11	TCGA-KL-8326-11A-01R-2314-13	TCGA-KL-8326-11A-01R-2314-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8327-01	TCGA-KL-8327-01A-11R-2314-13	TCGA-KL-8327-01A-11R-2314-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8327-01	TCGA-KL-8327-01A-11R-2314-13	TCGA-KL-8327-01A-11R-2314-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8328-01	TCGA-KL-8328-01A-11R-2314-13	TCGA-KL-8328-01A-11R-2314-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8328-01	TCGA-KL-8328-01A-11R-2314-13	TCGA-KL-8328-01A-11R-2314-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8329-01	TCGA-KL-8329-01A-11R-2314-13	TCGA-KL-8329-01A-11R-2314-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8329-01	TCGA-KL-8329-01A-11R-2314-13	TCGA-KL-8329-01A-11R-2314-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8329-11	TCGA-KL-8329-11A-01R-2314-13	TCGA-KL-8329-11A-01R-2314-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8329-11	TCGA-KL-8329-11A-01R-2314-13	TCGA-KL-8329-11A-01R-2314-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8330-01	TCGA-KL-8330-01A-11R-2314-13	TCGA-KL-8330-01A-11R-2314-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8330-01	TCGA-KL-8330-01A-11R-2314-13	TCGA-KL-8330-01A-11R-2314-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-KL-8331-01	TCGA-KL-8331-01A-11R-2314-13	TCGA-KL-8331-01A-11R-2314-13.isoform.quantification.txt
