Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaGA_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_LUSC.IlluminaGA_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaGA_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_LUSC.IlluminaGA_miRNASeq.sdrf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_LUSC.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_LUSC.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3406-01	TCGA-18-3406-01A-01T-0981-13	TCGA-18-3406-01A-01T-0981-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3406-01	TCGA-18-3406-01A-01T-0981-13	TCGA-18-3406-01A-01T-0981-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3407-01	TCGA-18-3407-01A-01T-0981-13	TCGA-18-3407-01A-01T-0981-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3407-01	TCGA-18-3407-01A-01T-0981-13	TCGA-18-3407-01A-01T-0981-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3408-01	TCGA-18-3408-01A-01T-0981-13	TCGA-18-3408-01A-01T-0981-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3408-01	TCGA-18-3408-01A-01T-0981-13	TCGA-18-3408-01A-01T-0981-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3410-01	TCGA-18-3410-01A-01T-0981-13	TCGA-18-3410-01A-01T-0981-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3410-01	TCGA-18-3410-01A-01T-0981-13	TCGA-18-3410-01A-01T-0981-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3411-01	TCGA-18-3411-01A-01T-0981-13	TCGA-18-3411-01A-01T-0981-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3411-01	TCGA-18-3411-01A-01T-0981-13	TCGA-18-3411-01A-01T-0981-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3412-01	TCGA-18-3412-01A-01T-0981-13	TCGA-18-3412-01A-01T-0981-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3412-01	TCGA-18-3412-01A-01T-0981-13	TCGA-18-3412-01A-01T-0981-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3414-01	TCGA-18-3414-01A-01T-0981-13	TCGA-18-3414-01A-01T-0981-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3414-01	TCGA-18-3414-01A-01T-0981-13	TCGA-18-3414-01A-01T-0981-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3415-01	TCGA-18-3415-01A-01T-0981-13	TCGA-18-3415-01A-01T-0981-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3415-01	TCGA-18-3415-01A-01T-0981-13	TCGA-18-3415-01A-01T-0981-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3416-01	TCGA-18-3416-01A-01T-0981-13	TCGA-18-3416-01A-01T-0981-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3416-01	TCGA-18-3416-01A-01T-0981-13	TCGA-18-3416-01A-01T-0981-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3417-01	TCGA-18-3417-01A-01T-1442-13	TCGA-18-3417-01A-01T-1442-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3417-01	TCGA-18-3417-01A-01T-1442-13	TCGA-18-3417-01A-01T-1442-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3419-01	TCGA-18-3419-01A-01T-0981-13	TCGA-18-3419-01A-01T-0981-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3419-01	TCGA-18-3419-01A-01T-0981-13	TCGA-18-3419-01A-01T-0981-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3421-01	TCGA-18-3421-01A-01T-0981-13	TCGA-18-3421-01A-01T-0981-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-3421-01	TCGA-18-3421-01A-01T-0981-13	TCGA-18-3421-01A-01T-0981-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-4086-01	TCGA-18-4086-01A-01T-1557-13	TCGA-18-4086-01A-01T-1557-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-4086-01	TCGA-18-4086-01A-01T-1557-13	TCGA-18-4086-01A-01T-1557-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-4721-01	TCGA-18-4721-01A-01T-1442-13	TCGA-18-4721-01A-01T-1442-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-18-4721-01	TCGA-18-4721-01A-01T-1442-13	TCGA-18-4721-01A-01T-1442-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-21-1072-01	TCGA-21-1072-01A-01T-1557-13	TCGA-21-1072-01A-01T-1557-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-21-1072-01	TCGA-21-1072-01A-01T-1557-13	TCGA-21-1072-01A-01T-1557-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-21-1075-01	TCGA-21-1075-01A-01T-1557-13	TCGA-21-1075-01A-01T-1557-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-21-1075-01	TCGA-21-1075-01A-01T-1557-13	TCGA-21-1075-01A-01T-1557-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaGA_miRNASeq	3	TCGA-21-1076-01	TCGA-21-1076-01A-01T-1557-13	TCGA-21-1076-01A-01T-1557-13.isoform.quantification.txt
