Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_MESO.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_MESO.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3H-AB3K-01	TCGA-3H-AB3K-01A-11R-A404-13	TCGA-3H-AB3K-01A-11R-A404-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3H-AB3K-01	TCGA-3H-AB3K-01A-11R-A404-13	TCGA-3H-AB3K-01A-11R-A404-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3H-AB3L-01	TCGA-3H-AB3L-01A-11R-A404-13	TCGA-3H-AB3L-01A-11R-A404-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3H-AB3L-01	TCGA-3H-AB3L-01A-11R-A404-13	TCGA-3H-AB3L-01A-11R-A404-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3H-AB3M-01	TCGA-3H-AB3M-01A-11R-A404-13	TCGA-3H-AB3M-01A-11R-A404-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3H-AB3M-01	TCGA-3H-AB3M-01A-11R-A404-13	TCGA-3H-AB3M-01A-11R-A404-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3H-AB3O-01	TCGA-3H-AB3O-01A-11R-A404-13	TCGA-3H-AB3O-01A-11R-A404-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3H-AB3O-01	TCGA-3H-AB3O-01A-11R-A404-13	TCGA-3H-AB3O-01A-11R-A404-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3H-AB3S-01	TCGA-3H-AB3S-01A-21R-A404-13	TCGA-3H-AB3S-01A-21R-A404-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-3H-AB3S-01	TCGA-3H-AB3S-01A-21R-A404-13	TCGA-3H-AB3S-01A-21R-A404-13.mirna.quantification.txt
