Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_PAAD.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_PAAD.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2J-AAB1-01	TCGA-2J-AAB1-01A-11R-A41G-13	TCGA-2J-AAB1-01A-11R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2J-AAB1-01	TCGA-2J-AAB1-01A-11R-A41G-13	TCGA-2J-AAB1-01A-11R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2J-AAB4-01	TCGA-2J-AAB4-01A-12R-A41G-13	TCGA-2J-AAB4-01A-12R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2J-AAB4-01	TCGA-2J-AAB4-01A-12R-A41G-13	TCGA-2J-AAB4-01A-12R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2J-AAB6-01	TCGA-2J-AAB6-01A-11R-A41G-13	TCGA-2J-AAB6-01A-11R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2J-AAB6-01	TCGA-2J-AAB6-01A-11R-A41G-13	TCGA-2J-AAB6-01A-11R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2J-AAB8-01	TCGA-2J-AAB8-01A-12R-A41G-13	TCGA-2J-AAB8-01A-12R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2J-AAB8-01	TCGA-2J-AAB8-01A-12R-A41G-13	TCGA-2J-AAB8-01A-12R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2J-AAB9-01	TCGA-2J-AAB9-01A-11R-A41G-13	TCGA-2J-AAB9-01A-11R-A41G-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2J-AAB9-01	TCGA-2J-AAB9-01A-11R-A41G-13	TCGA-2J-AAB9-01A-11R-A41G-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2J-AABA-01	TCGA-2J-AABA-01A-21R-A41G-13	TCGA-2J-AABA-01A-21R-A41G-13.isoform.quantification.txt
