Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_PCPG.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_PCPG.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P7-A5NX-01	TCGA-P7-A5NX-01A-11R-A35M-13	TCGA-P7-A5NX-01A-11R-A35M-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P7-A5NX-01	TCGA-P7-A5NX-01A-11R-A35M-13	TCGA-P7-A5NX-01A-11R-A35M-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P7-A5NY-01	TCGA-P7-A5NY-01A-12R-A35M-13	TCGA-P7-A5NY-01A-12R-A35M-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P7-A5NY-01	TCGA-P7-A5NY-01A-12R-A35M-13	TCGA-P7-A5NY-01A-12R-A35M-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P7-A5NY-05	TCGA-P7-A5NY-05A-11R-A35M-13	TCGA-P7-A5NY-05A-11R-A35M-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P7-A5NY-05	TCGA-P7-A5NY-05A-11R-A35M-13	TCGA-P7-A5NY-05A-11R-A35M-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P8-A5KC-01	TCGA-P8-A5KC-01A-11R-A35M-13	TCGA-P8-A5KC-01A-11R-A35M-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P8-A5KC-01	TCGA-P8-A5KC-01A-11R-A35M-13	TCGA-P8-A5KC-01A-11R-A35M-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P8-A5KC-11	TCGA-P8-A5KC-11A-11R-A35M-13	TCGA-P8-A5KC-11A-11R-A35M-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P8-A5KC-11	TCGA-P8-A5KC-11A-11R-A35M-13	TCGA-P8-A5KC-11A-11R-A35M-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P8-A5KD-01	TCGA-P8-A5KD-01A-11R-A35M-13	TCGA-P8-A5KD-01A-11R-A35M-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P8-A5KD-01	TCGA-P8-A5KD-01A-11R-A35M-13	TCGA-P8-A5KD-01A-11R-A35M-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P8-A5KD-11	TCGA-P8-A5KD-11A-11R-A35M-13	TCGA-P8-A5KD-11A-11R-A35M-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P8-A5KD-11	TCGA-P8-A5KD-11A-11R-A35M-13	TCGA-P8-A5KD-11A-11R-A35M-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P8-A6RX-01	TCGA-P8-A6RX-01A-11R-A35M-13	TCGA-P8-A6RX-01A-11R-A35M-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P8-A6RX-01	TCGA-P8-A6RX-01A-11R-A35M-13	TCGA-P8-A6RX-01A-11R-A35M-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-P8-A6RY-01	TCGA-P8-A6RY-01A-12R-A35M-13	TCGA-P8-A6RY-01A-12R-A35M-13.isoform.quantification.txt
