Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_TGCT.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_TGCT.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAEW-01	TCGA-2G-AAEW-01A-11R-A439-13	TCGA-2G-AAEW-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAEW-01	TCGA-2G-AAEW-01A-11R-A439-13	TCGA-2G-AAEW-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAEX-01	TCGA-2G-AAEX-01A-11R-A439-13	TCGA-2G-AAEX-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAEX-01	TCGA-2G-AAEX-01A-11R-A439-13	TCGA-2G-AAEX-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAF1-01	TCGA-2G-AAF1-01A-11R-A439-13	TCGA-2G-AAF1-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAF1-01	TCGA-2G-AAF1-01A-11R-A439-13	TCGA-2G-AAF1-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAF4-01	TCGA-2G-AAF4-01A-11R-A439-13	TCGA-2G-AAF4-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAF4-01	TCGA-2G-AAF4-01A-11R-A439-13	TCGA-2G-AAF4-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAF6-01	TCGA-2G-AAF6-01A-11R-A439-13	TCGA-2G-AAF6-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAF6-01	TCGA-2G-AAF6-01A-11R-A439-13	TCGA-2G-AAF6-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAF8-01	TCGA-2G-AAF8-01A-11R-A439-13	TCGA-2G-AAF8-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAF8-01	TCGA-2G-AAF8-01A-11R-A439-13	TCGA-2G-AAF8-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFE-01	TCGA-2G-AAFE-01A-11R-A439-13	TCGA-2G-AAFE-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFE-01	TCGA-2G-AAFE-01A-11R-A439-13	TCGA-2G-AAFE-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFG-01	TCGA-2G-AAFG-01A-11R-A439-13	TCGA-2G-AAFG-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFG-01	TCGA-2G-AAFG-01A-11R-A439-13	TCGA-2G-AAFG-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFG-05	TCGA-2G-AAFG-05A-11R-A439-13	TCGA-2G-AAFG-05A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFG-05	TCGA-2G-AAFG-05A-11R-A439-13	TCGA-2G-AAFG-05A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFH-01	TCGA-2G-AAFH-01A-12R-A439-13	TCGA-2G-AAFH-01A-12R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFH-01	TCGA-2G-AAFH-01A-12R-A439-13	TCGA-2G-AAFH-01A-12R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFI-01	TCGA-2G-AAFI-01A-21R-A439-13	TCGA-2G-AAFI-01A-21R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFI-01	TCGA-2G-AAFI-01A-21R-A439-13	TCGA-2G-AAFI-01A-21R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFJ-01	TCGA-2G-AAFJ-01A-11R-A439-13	TCGA-2G-AAFJ-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFJ-01	TCGA-2G-AAFJ-01A-11R-A439-13	TCGA-2G-AAFJ-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFL-01	TCGA-2G-AAFL-01A-21R-A439-13	TCGA-2G-AAFL-01A-21R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFL-01	TCGA-2G-AAFL-01A-21R-A439-13	TCGA-2G-AAFL-01A-21R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFM-01	TCGA-2G-AAFM-01A-11R-A439-13	TCGA-2G-AAFM-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFM-01	TCGA-2G-AAFM-01A-11R-A439-13	TCGA-2G-AAFM-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFN-01	TCGA-2G-AAFN-01A-31R-A439-13	TCGA-2G-AAFN-01A-31R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFN-01	TCGA-2G-AAFN-01A-31R-A439-13	TCGA-2G-AAFN-01A-31R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFO-01	TCGA-2G-AAFO-01A-31R-A439-13	TCGA-2G-AAFO-01A-31R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFO-01	TCGA-2G-AAFO-01A-31R-A439-13	TCGA-2G-AAFO-01A-31R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFV-01	TCGA-2G-AAFV-01A-11R-A439-13	TCGA-2G-AAFV-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFV-01	TCGA-2G-AAFV-01A-11R-A439-13	TCGA-2G-AAFV-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFY-01	TCGA-2G-AAFY-01A-11R-A439-13	TCGA-2G-AAFY-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFY-01	TCGA-2G-AAFY-01A-11R-A439-13	TCGA-2G-AAFY-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFZ-01	TCGA-2G-AAFZ-01A-11R-A439-13	TCGA-2G-AAFZ-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAFZ-01	TCGA-2G-AAFZ-01A-11R-A439-13	TCGA-2G-AAFZ-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG0-01	TCGA-2G-AAG0-01A-11R-A439-13	TCGA-2G-AAG0-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG0-01	TCGA-2G-AAG0-01A-11R-A439-13	TCGA-2G-AAG0-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG3-01	TCGA-2G-AAG3-01A-11R-A439-13	TCGA-2G-AAG3-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG3-01	TCGA-2G-AAG3-01A-11R-A439-13	TCGA-2G-AAG3-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG5-01	TCGA-2G-AAG5-01A-11R-A439-13	TCGA-2G-AAG5-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG5-01	TCGA-2G-AAG5-01A-11R-A439-13	TCGA-2G-AAG5-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG6-01	TCGA-2G-AAG6-01A-11R-A439-13	TCGA-2G-AAG6-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG6-01	TCGA-2G-AAG6-01A-11R-A439-13	TCGA-2G-AAG6-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG7-01	TCGA-2G-AAG7-01A-11R-A439-13	TCGA-2G-AAG7-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG7-01	TCGA-2G-AAG7-01A-11R-A439-13	TCGA-2G-AAG7-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG8-01	TCGA-2G-AAG8-01A-31R-A439-13	TCGA-2G-AAG8-01A-31R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG8-01	TCGA-2G-AAG8-01A-31R-A439-13	TCGA-2G-AAG8-01A-31R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG9-01	TCGA-2G-AAG9-01A-11R-A439-13	TCGA-2G-AAG9-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAG9-01	TCGA-2G-AAG9-01A-11R-A439-13	TCGA-2G-AAG9-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAGA-01	TCGA-2G-AAGA-01A-11R-A439-13	TCGA-2G-AAGA-01A-11R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAGA-01	TCGA-2G-AAGA-01A-11R-A439-13	TCGA-2G-AAGA-01A-11R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAGC-01	TCGA-2G-AAGC-01A-21R-A439-13	TCGA-2G-AAGC-01A-21R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAGC-01	TCGA-2G-AAGC-01A-21R-A439-13	TCGA-2G-AAGC-01A-21R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAGE-01	TCGA-2G-AAGE-01A-21R-A439-13	TCGA-2G-AAGE-01A-21R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAGE-01	TCGA-2G-AAGE-01A-21R-A439-13	TCGA-2G-AAGE-01A-21R-A439-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAGF-01	TCGA-2G-AAGF-01A-31R-A439-13	TCGA-2G-AAGF-01A-31R-A439-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2G-AAGF-01	TCGA-2G-AAGF-01A-31R-A439-13	TCGA-2G-AAGF-01A-31R-A439-13.mirna.quantification.txt
