Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaGA_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_UCEC.IlluminaGA_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaGA_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_UCEC.IlluminaGA_miRNASeq.sdrf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_UCEC.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_UCEC.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2E-A9G8-01	TCGA-2E-A9G8-01A-11R-A404-13	TCGA-2E-A9G8-01A-11R-A404-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-2E-A9G8-01	TCGA-2E-A9G8-01A-11R-A404-13	TCGA-2E-A9G8-01A-11R-A404-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-4E-A92E-01	TCGA-4E-A92E-01A-11R-A37P-13	TCGA-4E-A92E-01A-11R-A37P-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-4E-A92E-01	TCGA-4E-A92E-01A-11R-A37P-13	TCGA-4E-A92E-01A-11R-A37P-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-5B-A90C-01	TCGA-5B-A90C-01A-11R-A37P-13	TCGA-5B-A90C-01A-11R-A37P-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-5B-A90C-01	TCGA-5B-A90C-01A-11R-A37P-13	TCGA-5B-A90C-01A-11R-A37P-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-5S-A9Q8-01	TCGA-5S-A9Q8-01A-11R-A404-13	TCGA-5S-A9Q8-01A-11R-A404-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-5S-A9Q8-01	TCGA-5S-A9Q8-01A-11R-A404-13	TCGA-5S-A9Q8-01A-11R-A404-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A0G1-01	TCGA-A5-A0G1-01A-11R-A119-13	TCGA-A5-A0G1-01A-11R-A119-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A0G1-01	TCGA-A5-A0G1-01A-11R-A119-13	TCGA-A5-A0G1-01A-11R-A119-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A0GB-01	TCGA-A5-A0GB-01A-11R-A041-13	TCGA-A5-A0GB-01A-11R-A041-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A0GB-01	TCGA-A5-A0GB-01A-11R-A041-13	TCGA-A5-A0GB-01A-11R-A041-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A0GG-01	TCGA-A5-A0GG-01A-11R-A119-13	TCGA-A5-A0GG-01A-11R-A119-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A0GG-01	TCGA-A5-A0GG-01A-11R-A119-13	TCGA-A5-A0GG-01A-11R-A119-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A0GN-01	TCGA-A5-A0GN-01A-11R-A041-13	TCGA-A5-A0GN-01A-11R-A041-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A0GN-01	TCGA-A5-A0GN-01A-11R-A041-13	TCGA-A5-A0GN-01A-11R-A041-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A0GQ-01	TCGA-A5-A0GQ-01A-11R-A119-13	TCGA-A5-A0GQ-01A-11R-A119-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A0GQ-01	TCGA-A5-A0GQ-01A-11R-A119-13	TCGA-A5-A0GQ-01A-11R-A119-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A0GR-01	TCGA-A5-A0GR-01A-11R-A119-13	TCGA-A5-A0GR-01A-11R-A119-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A0GR-01	TCGA-A5-A0GR-01A-11R-A119-13	TCGA-A5-A0GR-01A-11R-A119-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A1OF-01	TCGA-A5-A1OF-01A-11R-A14C-13	TCGA-A5-A1OF-01A-11R-A14C-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A1OF-01	TCGA-A5-A1OF-01A-11R-A14C-13	TCGA-A5-A1OF-01A-11R-A14C-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A1OG-01	TCGA-A5-A1OG-01A-11R-A14C-13	TCGA-A5-A1OG-01A-11R-A14C-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-A5-A1OG-01	TCGA-A5-A1OG-01A-11R-A14C-13	TCGA-A5-A1OG-01A-11R-A14C-13.mirna.quantification.txt
