Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_UCS.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_UCS.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-N5-A4R8-01	TCGA-N5-A4R8-01A-11R-A28Z-13	TCGA-N5-A4R8-01A-11R-A28Z-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-N5-A4R8-01	TCGA-N5-A4R8-01A-11R-A28Z-13	TCGA-N5-A4R8-01A-11R-A28Z-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-N5-A4RA-01	TCGA-N5-A4RA-01A-11R-A28Z-13	TCGA-N5-A4RA-01A-11R-A28Z-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-N5-A4RA-01	TCGA-N5-A4RA-01A-11R-A28Z-13	TCGA-N5-A4RA-01A-11R-A28Z-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-N5-A4RD-01	TCGA-N5-A4RD-01A-11R-A28Z-13	TCGA-N5-A4RD-01A-11R-A28Z-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-N5-A4RD-01	TCGA-N5-A4RD-01A-11R-A28Z-13	TCGA-N5-A4RD-01A-11R-A28Z-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-N5-A4RF-01	TCGA-N5-A4RF-01A-11R-A28Z-13	TCGA-N5-A4RF-01A-11R-A28Z-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-N5-A4RF-01	TCGA-N5-A4RF-01A-11R-A28Z-13	TCGA-N5-A4RF-01A-11R-A28Z-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-N5-A4RJ-01	TCGA-N5-A4RJ-01A-11R-A28Z-13	TCGA-N5-A4RJ-01A-11R-A28Z-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-N5-A4RJ-01	TCGA-N5-A4RJ-01A-11R-A28Z-13	TCGA-N5-A4RJ-01A-11R-A28Z-13.mirna.quantification.txt
