Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_UVM.IlluminaHiSeq_miRNASeq.idf.txt
METADATA	BCGSC	IlluminaHiSeq_miRNASeq	n/a	selected_samples	N/A	bcgsc.ca_UVM.IlluminaHiSeq_miRNASeq.sdrf.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-RZ-AB0B-01	TCGA-RZ-AB0B-01A-11R-A40B-13	TCGA-RZ-AB0B-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-RZ-AB0B-01	TCGA-RZ-AB0B-01A-11R-A40B-13	TCGA-RZ-AB0B-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V3-A9ZX-01	TCGA-V3-A9ZX-01A-11R-A40B-13	TCGA-V3-A9ZX-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V3-A9ZX-01	TCGA-V3-A9ZX-01A-11R-A40B-13	TCGA-V3-A9ZX-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V3-A9ZY-01	TCGA-V3-A9ZY-01A-11R-A40B-13	TCGA-V3-A9ZY-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V3-A9ZY-01	TCGA-V3-A9ZY-01A-11R-A40B-13	TCGA-V3-A9ZY-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9E5-01	TCGA-V4-A9E5-01A-11R-A40B-13	TCGA-V4-A9E5-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9E5-01	TCGA-V4-A9E5-01A-11R-A40B-13	TCGA-V4-A9E5-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9E7-01	TCGA-V4-A9E7-01A-11R-A40B-13	TCGA-V4-A9E7-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9E7-01	TCGA-V4-A9E7-01A-11R-A40B-13	TCGA-V4-A9E7-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9E8-01	TCGA-V4-A9E8-01A-11R-A40B-13	TCGA-V4-A9E8-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9E8-01	TCGA-V4-A9E8-01A-11R-A40B-13	TCGA-V4-A9E8-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9E9-01	TCGA-V4-A9E9-01A-11R-A40B-13	TCGA-V4-A9E9-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9E9-01	TCGA-V4-A9E9-01A-11R-A40B-13	TCGA-V4-A9E9-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EA-01	TCGA-V4-A9EA-01A-11R-A40B-13	TCGA-V4-A9EA-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EA-01	TCGA-V4-A9EA-01A-11R-A40B-13	TCGA-V4-A9EA-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EC-01	TCGA-V4-A9EC-01A-11R-A40B-13	TCGA-V4-A9EC-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EC-01	TCGA-V4-A9EC-01A-11R-A40B-13	TCGA-V4-A9EC-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9ED-01	TCGA-V4-A9ED-01A-11R-A40B-13	TCGA-V4-A9ED-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9ED-01	TCGA-V4-A9ED-01A-11R-A40B-13	TCGA-V4-A9ED-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EE-01	TCGA-V4-A9EE-01A-11R-A40B-13	TCGA-V4-A9EE-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EE-01	TCGA-V4-A9EE-01A-11R-A40B-13	TCGA-V4-A9EE-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EF-01	TCGA-V4-A9EF-01A-21R-A40B-13	TCGA-V4-A9EF-01A-21R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EF-01	TCGA-V4-A9EF-01A-21R-A40B-13	TCGA-V4-A9EF-01A-21R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EH-01	TCGA-V4-A9EH-01A-11R-A40B-13	TCGA-V4-A9EH-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EH-01	TCGA-V4-A9EH-01A-11R-A40B-13	TCGA-V4-A9EH-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EI-01	TCGA-V4-A9EI-01A-11R-A40B-13	TCGA-V4-A9EI-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EI-01	TCGA-V4-A9EI-01A-11R-A40B-13	TCGA-V4-A9EI-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EJ-01	TCGA-V4-A9EJ-01A-11R-A40B-13	TCGA-V4-A9EJ-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EJ-01	TCGA-V4-A9EJ-01A-11R-A40B-13	TCGA-V4-A9EJ-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EK-01	TCGA-V4-A9EK-01A-11R-A40B-13	TCGA-V4-A9EK-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EK-01	TCGA-V4-A9EK-01A-11R-A40B-13	TCGA-V4-A9EK-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EL-01	TCGA-V4-A9EL-01A-11R-A40B-13	TCGA-V4-A9EL-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EL-01	TCGA-V4-A9EL-01A-11R-A40B-13	TCGA-V4-A9EL-01A-11R-A40B-13.mirna.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EM-01	TCGA-V4-A9EM-01A-11R-A40B-13	TCGA-V4-A9EM-01A-11R-A40B-13.isoform.quantification.txt
miRNASeq	BCGSC	IlluminaHiSeq_miRNASeq	3	TCGA-V4-A9EM-01	TCGA-V4-A9EM-01A-11R-A40B-13	TCGA-V4-A9EM-01A-11R-A40B-13.mirna.quantification.txt
